entry_id	kingdom	phylum	class	order	family	genus	species	cell_type	gene_symbol	cell_subtype	sample_type	tissue_type	pubmed_id	journal	title	geo_id
1555	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Basal cells	SOX2	Basal cells	Tissue	Brain	32066986	Nat Neurosci	Single-cell analysis of olfactory neurogenesis and differentiation in adult Humans	"GSE139522, GSE139522"
1556	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Basal cells	KRT5	Horizontal basal cells	Tissue	Brain	32066986	Nat Neurosci	Single-cell analysis of olfactory neurogenesis and differentiation in adult Humans	"GSE139522, GSE139522"
1557	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	"TUJ1, GAP43"	Immature neurons	Tissue	Brain	32066986	Nat Neurosci	Single-cell analysis of olfactory neurogenesis and differentiation in adult Humans	"GSE139522, GSE139522"
1558	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Neural cells	TUJ1	Immature olfactory sensory neurons	Tissue	Brain	32066986	Nat Neurosci	Single-cell analysis of olfactory neurogenesis and differentiation in adult Humans	"GSE139522, GSE139522"
1559	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Basal cells	KI67	Proliferative globose basal cells	Tissue	Brain	32066986	Nat Neurosci	Single-cell analysis of olfactory neurogenesis and differentiation in adult Humans	"GSE139522, GSE139522"
1560	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"SLC1A2, GLUL, CLU, PON2, MT2A, NEAT1, APOE, SLC1A3, COL5A3, ATP1B2, PTGDS, CST3, NTM, CPE, C1orf61, ATP1A2, ADGRV1, AQP4, MT3, MT1E, EMX2, GJA1, CKB, FAM171B, NDRG2, MT1G, NTRK2, GFAP, TTYH1, FGFR3, MT1F, SFXN5, SPARCL1, DDX17, HIF3A, MT1M, TUBB2B, DST"	Astrocytes	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1561	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"MT2A, MT1F, MT1E, MT1X, MT1G, MT1M, FTL, MT3, FAM171B, TPD52L1, EGLN3, CPE, GJB6, EPHX1, TKT, CLU, RGCC, NUPR1"	Cluster_1	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1562	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"HSP90AA1, HSPB1, CRYAB, MTATP6P1, HSPA1A, UBC, CALM1, HSP90AB1, ATP1B1, GPM6B, CCK, VAMP2, MAP1A, NRGN, EEF1A1, EIF1, TMSB4X"	Cluster_2	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1563	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"COL5A3, FGFR3, C1orf61, NTM, AC007325.2, SLC1A2, CIRBP, ADGRV1, T8L, NCAN, SFXN5, SON, SNRNP70, MIAT, LCNL1, NDRG2, SRRM2, LUC7L3, DST, MFGE8, MTSS1L, MACF1, IQCA1, NPIPB5, PLXNB1, NPIPB3, PDGFRB"	Cluster_3	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1564	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"MICALL2, ATP1B2, CARMIL1, CAPN2, NPIPB12, ATP1A2, ACSL6, SYNE1, ADGRG1, COL16A1, AL391807.1, ACSS1, GABBR1, LINC00982, ADGRB1, ANKDD1A, LSAMP, ACADVL, R5-8S5, R5-8SN5, LGI4, FNBP1, GOLGA8B"	Cluster_4	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
